"Country","Region","Month","Female","Male","Hotelstay","Otherstay","Age0to12","Age13to20","Age21to35","Age36to49","Age50over","Leisure","Business","Conf_Convention","Education","Friend_Family","Otherreason"
"Venezuela","South America",2023-08-01,2993,3002,2393,3602,585,897,1011,1415,2085,3834,394,89,94,1343,237
"Other South America","South America",2023-08-01,393,395,712,76,61,42,234,277,173,595,81,62,1,43,6
"China","Asia",2023-08-01,84,204,173,115,2,6,125,110,45,77,121,34,1,54,1
"South Korea","Asia",2023-08-01,37,77,77,37,9,6,25,53,21,34,46,6,4,20,4
"India","Asia",2023-08-01,65,169,166,67,23,12,99,63,36,160,54,3,0,15,1
"Israel","Asia",2023-08-01,132,153,239,45,51,32,82,72,47,240,10,5,1,26,2
"Japan","Asia",2023-08-01,23,83,81,25,1,4,23,34,43,49,29,9,1,16,1
"Taiwan","Asia",2023-08-01,9,19,23,5,3,1,7,8,9,11,5,1,1,10,0
"Other Asia","Asia",2023-08-01,162,489,398,253,33,81,204,223,108,349,139,14,4,75,68
"Germany","Europe",2023-08-01,4281,4257,7557,981,983,1246,2259,2070,1979,7620,331,27,41,479,38
"Austria","Europe",2023-08-01,248,267,394,121,68,62,163,125,96,422,15,1,1,72,3
"Belgium","Europe",2023-08-01,1117,1015,1915,217,230,316,602,530,453,1926,42,6,3,154,0
"Bulgaria","Europe",2023-08-01,26,38,58,6,4,7,8,21,24,56,3,0,0,5,0
"Denmark","Europe",2023-08-01,24,31,35,20,0,4,18,12,21,35,12,1,0,6,1
"Scotland","Europe",2023-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Spain","Europe",2023-08-01,14074,13813,22593,5294,3262,3200,7193,7391,6839,23629,719,127,90,3275,46
"Finland","Europe",2023-08-01,10,18,16,12,0,3,12,9,4,11,10,1,3,2,1
"France","Europe",2023-08-01,4741,4598,7913,1425,1326,1309,2492,2198,2013,8055,222,14,29,987,29
"Greece","Europe",2023-08-01,38,35,53,21,10,3,20,20,20,45,9,6,2,11,0
"Netherlands","Europe",2023-08-01,1156,1170,1967,358,340,294,706,517,466,1928,59,14,12,303,8
"Hungary","Europe",2023-08-01,51,37,64,24,6,9,34,24,15,77,2,0,2,8,0
"United Kingdom","Europe",2023-08-01,9089,8245,16639,695,2723,2672,3504,4847,3586,16856,212,17,9,206,33
"Ireland","Europe",2023-08-01,102,104,187,18,20,17,81,49,38,188,2,2,0,14,0
"Italy","Europe",2023-08-01,4115,4461,6968,1608,628,651,3903,1733,1660,7629,141,25,42,718,19
"Luxembourg","Europe",2023-08-01,102,97,146,53,29,28,58,49,35,157,0,0,0,42,1
"Norway","Europe",2023-08-01,29,35,28,36,5,5,30,8,16,45,3,2,0,14,0
"Poland","Europe",2023-08-01,268,278,460,85,63,59,172,184,65,473,27,3,0,41,1
"Portugal","Europe",2023-08-01,4939,4629,9436,133,1126,1187,2431,2730,2092,9471,42,5,3,44,2
"Czech Republic","Europe",2023-08-01,104,87,131,59,14,22,58,44,53,157,3,0,3,27,1
"Romania","Europe",2023-08-01,69,78,105,43,15,20,34,57,21,124,10,0,0,12,1
"Russia","Europe",2023-08-01,99,97,109,87,22,16,44,77,36,163,18,1,2,12,0
"Sweden","Europe",2023-08-01,38,48,59,27,11,8,22,21,24,67,5,0,2,12,0
"Switzerland","Europe",2023-08-01,585,605,828,362,84,96,497,213,299,819,150,7,3,204,6
"Ukraine","Europe",2023-08-01,82,89,112,59,17,13,54,56,29,134,25,1,0,10,1
"Other Europe","Europe",2023-08-01,232,292,394,130,44,29,189,146,114,433,35,2,3,47,3
"Australia","Australia",2023-08-01,47,66,84,28,6,3,32,39,32,86,16,1,0,4,5
"Other Rest of the World","Other",2023-08-01,176,232,324,84,37,33,80,132,124,318,39,15,1,33,1
"Dom. Residents",NA,2023-09-01,38461,31041,149,69353,3504,5596,22116,16313,21971,124,0,0,0,4,69374
"Ext. Residents",NA,2023-09-01,5374,6513,302,11584,1031,596,2817,3303,4138,25,0,0,0,0,11861
"Dom. Non-Residents",NA,2023-09-01,47797,41678,8170,81304,1192,2521,20391,23206,42163,46623,1418,397,980,39478,576
"Canada","North America",2023-09-01,19090,17658,34183,2564,3464,1230,11336,8262,12453,33681,329,84,36,1020,1596
"United States","North America",2023-09-01,85718,84799,118212,52304,13075,5938,52037,46271,53195,119576,5431,1502,1042,28910,14054
"Mexico","North America",2023-09-01,3146,3697,5499,1344,279,147,2686,2095,1634,4312,1006,540,29,580,374
"Aruba","Caribbean",2023-09-01,82,90,83,89,26,10,39,46,49,64,3,2,4,61,36
"Turk and Caicos Islands","Caribbean",2023-09-01,129,287,186,230,14,16,135,136,114,239,25,1,1,94,55
"Costa Rica","Central America",2023-09-01,833,868,1292,410,81,52,569,603,395,955,402,117,4,123,99
"Cuba","Caribbean",2023-09-01,376,452,544,284,23,56,155,181,413,377,123,75,16,173,63
"Curaçao","Caribbean",2023-09-01,131,192,214,109,16,7,50,89,160,171,19,4,2,68,58
"El Salvador","Central America",2023-09-01,661,563,918,307,63,53,533,336,238,963,109,59,1,67,24
"Guadeloupe","Caribbean",2023-09-01,243,252,260,236,24,19,152,131,169,290,41,38,13,96,15
"Guatemala","Central America",2023-09-01,1256,1256,1973,539,181,111,1000,741,478,1891,295,136,12,120,57
"Haiti","Caribbean",2023-09-01,734,1071,646,1159,75,47,659,598,424,662,207,56,134,615,130
"Honduras","Central America",2023-09-01,375,339,488,225,34,17,308,208,146,338,111,75,3,89,96
"Jamaica","Caribbean",2023-09-01,727,553,1070,210,56,34,761,299,129,1070,51,15,8,64,70
"Martinique","Caribbean",2023-09-01,176,279,305,150,11,28,175,95,146,199,37,6,7,71,133
"Panama","Central America",2023-09-01,1355,1686,2328,712,248,149,891,1026,724,1475,715,289,14,318,228
"Puerto Rico","Caribbean",2023-09-01,5735,6339,9032,3042,566,447,3206,3738,4115,8806,639,241,163,1650,573
"Saint Martin","Caribbean",2023-09-01,157,217,180,194,55,10,112,107,89,234,12,2,2,119,5
"Trinidad and Tobago","Caribbean",2023-09-01,107,132,200,39,15,4,71,82,66,148,30,20,0,19,21
"U.S. Virgin Islands","Caribbean",2023-09-01,62,83,70,76,11,3,36,37,58,83,5,9,0,38,9
"Other America","North America",2023-09-01,528,850,883,495,72,87,533,395,289,699,86,75,13,226,276
"Argentina","South America",2023-09-01,6981,6183,12736,428,2026,736,1824,3714,4863,12461,154,145,7,183,213
"Bolivia","South America",2023-09-01,663,545,1159,49,171,76,356,366,238,994,12,40,4,34,123
"Brazil","South America",2023-09-01,4451,4284,8266,469,591,272,3034,2870,1967,6965,354,239,13,150,1012
"Chile","South America",2023-09-01,5594,4732,9750,577,1663,707,2369,2895,2691,9594,88,88,6,309,240
"Colombia","South America",2023-09-01,15919,12192,24366,3745,1700,1285,9507,7459,8158,24605,1132,644,111,995,620
"Ecuador","South America",2023-09-01,2459,1984,3705,738,382,353,1610,1130,966,3588,97,343,31,273,108
"Peru","South America",2023-09-01,2849,2247,4400,695,389,304,1606,1427,1368,4348,201,125,33,248,138
"Uruguay","South America",2023-09-01,1042,934,1908,68,327,139,380,552,576,1820,37,60,1,27,29
"Venezuela","South America",2023-09-01,2704,3109,1784,4029,522,827,1137,1311,2015,3172,371,101,130,1486,551
"Other South America","South America",2023-09-01,416,337,664,89,83,28,237,203,201,552,25,34,1,23,117
"China","Asia",2023-09-01,100,232,235,97,0,1,142,119,69,85,169,28,3,38,7
"South Korea","Asia",2023-09-01,35,109,102,42,3,2,32,54,52,48,63,7,3,16,6
"India","Asia",2023-09-01,111,245,309,47,39,37,144,109,26,235,47,10,2,55,5
"Israel","Asia",2023-09-01,168,192,308,52,38,25,147,83,67,230,17,2,5,35,70
"Japan","Asia",2023-09-01,16,30,35,12,0,0,16,13,17,15,14,4,0,11,1
"Taiwan","Asia",2023-09-01,8,13,13,8,0,0,10,7,4,15,3,0,0,3,0
"Other Asia","Asia",2023-09-01,161,442,407,196,22,19,281,182,97,292,160,16,7,98,28
"Germany","Europe",2023-09-01,4736,4738,8673,801,332,412,3351,1999,3379,8323,348,13,53,403,332
"Austria","Europe",2023-09-01,200,220,345,76,10,25,179,83,123,344,18,0,2,34,21
"Belgium","Europe",2023-09-01,772,690,1286,176,33,57,645,281,445,1243,20,8,1,131,58
"Bulgaria","Europe",2023-09-01,33,46,52,26,4,6,26,19,23,57,3,4,0,14,0
"Denmark","Europe",2023-09-01,28,45,44,29,3,3,21,16,30,42,8,0,0,23,0
"Scotland","Europe",2023-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Spain","Europe",2023-09-01,7451,8089,12111,3428,1016,794,4848,4396,4483,10570,1167,425,92,2285,999
"Finland","Europe",2023-09-01,17,39,31,25,1,2,22,18,12,31,16,2,0,6,0
"France","Europe",2023-09-01,2209,2222,3624,806,74,128,2022,789,1415,3316,185,36,7,534,350
"Greece","Europe",2023-09-01,33,53,68,18,1,1,38,30,16,63,12,0,0,8,4
"Netherlands","Europe",2023-09-01,870,908,1469,308,69,41,708,371,587,1366,59,14,8,227,101
"Hungary","Europe",2023-09-01,110,127,216,21,9,4,108,56,59,175,7,5,0,15,34
"United Kingdom","Europe",2023-09-01,8339,7484,15301,522,483,633,5338,3348,6020,14622,234,30,10,218,707
"Ireland","Europe",2023-09-01,119,118,219,18,6,5,93,83,49,185,13,1,1,8,29
"Italy","Europe",2023-09-01,1525,1956,2534,947,207,156,1363,695,1059,2525,143,18,30,512,252
"Luxembourg","Europe",2023-09-01,32,36,52,16,3,8,25,16,15,47,2,0,0,10,9
"Norway","Europe",2023-09-01,56,57,78,35,6,6,35,37,28,84,6,3,0,14,5
"Poland","Europe",2023-09-01,467,481,815,133,35,30,443,258,182,768,39,13,3,56,67
"Portugal","Europe",2023-09-01,3361,3096,6355,102,541,426,2505,1643,1339,6008,46,12,1,63,325
"Czech Republic","Europe",2023-09-01,162,137,246,54,16,12,140,67,64,228,3,3,0,34,31
"Romania","Europe",2023-09-01,120,123,212,30,6,12,131,60,32,181,7,5,0,20,30
"Russia","Europe",2023-09-01,117,135,150,103,25,6,85,86,49,183,17,3,1,15,33
"Sweden","Europe",2023-09-01,33,51,60,24,2,1,16,20,45,53,12,2,0,13,3
"Switzerland","Europe",2023-09-01,794,830,1145,480,108,98,596,313,509,1122,141,7,14,312,27
"Ukraine","Europe",2023-09-01,149,122,199,72,12,16,120,74,48,208,25,4,3,20,9
"Other Europe","Europe",2023-09-01,263,338,459,142,14,24,282,152,128,465,33,19,5,40,36
"Australia","Australia",2023-09-01,48,56,74,30,4,2,37,34,26,73,10,2,0,10,8
"Other Rest of the World","Other",2023-09-01,123,158,184,97,17,9,99,89,67,186,31,16,2,31,14
"Dom. Residents",NA,2023-10-01,38824,32350,154,71019,2919,3055,20117,19175,25906,124,1,0,0,1,71047
"Ext. Residents",NA,2023-10-01,5478,6501,376,11602,814,448,2886,3373,4455,18,0,0,0,1,11959
"Dom. Non-Residents",NA,2023-10-01,48345,40986,8189,81142,980,2037,19046,22550,44717,47277,1447,318,684,39010,592
"Canada","North America",2023-10-01,27330,24145,48073,3403,4782,2609,13364,11902,18816,49492,491,249,34,974,234
"United States","North America",2023-10-01,94369,93923,135478,52814,14345,6853,53525,51192,62375,148777,6789,2177,879,28485,1184
"Mexico","North America",2023-10-01,3499,4174,6200,1474,260,171,3009,2458,1773,5140,1092,697,52,598,92
"Aruba","Caribbean",2023-10-01,87,89,76,100,15,19,42,39,59,81,9,7,3,69,5
"Turk and Caicos Islands","Caribbean",2023-10-01,148,242,193,197,29,10,96,131,122,281,35,5,2,64,2
"Costa Rica","Central America",2023-10-01,874,1013,1453,433,93,91,576,634,490,985,466,199,7,125,102
"Cuba","Caribbean",2023-10-01,426,424,554,297,29,49,172,217,382,364,62,87,8,219,109
"Curaçao","Caribbean",2023-10-01,315,274,481,108,71,46,75,163,232,469,23,6,2,69,17
"El Salvador","Central America",2023-10-01,705,591,1006,291,75,44,631,333,213,1033,116,84,8,52,2
"Guadeloupe","Caribbean",2023-10-01,208,250,251,207,28,28,92,102,206,286,25,48,2,86,8
"Guatemala","Central America",2023-10-01,1137,1125,1821,441,211,138,820,651,440,1671,300,129,7,101,52
"Haiti","Caribbean",2023-10-01,113,221,96,238,6,7,56,155,108,155,51,11,4,109,2
"Honduras","Central America",2023-10-01,568,571,913,225,59,59,498,307,215,772,96,124,7,81,57
"Jamaica","Caribbean",2023-10-01,914,708,1393,230,55,87,914,383,183,1395,72,38,14,59,43
"Martinique","Caribbean",2023-10-01,217,293,340,170,43,32,103,129,202,316,37,32,4,75,45
"Panama","Central America",2023-10-01,1352,1644,2322,674,194,139,927,1060,674,1222,837,335,13,300,288
"Puerto Rico","Caribbean",2023-10-01,6881,7316,11054,3143,712,616,3265,4320,5282,10299,768,757,131,1597,643
"Saint Martin","Caribbean",2023-10-01,171,200,172,199,58,25,91,91,104,242,4,7,5,103,9
"Trinidad and Tobago","Caribbean",2023-10-01,98,120,185,33,6,4,55,84,69,133,41,23,0,20,0
"U.S. Virgin Islands","Caribbean",2023-10-01,59,93,66,86,13,4,25,36,72,96,4,1,1,48,1
"Other America","North America",2023-10-01,506,717,721,502,63,68,437,370,283,654,136,122,10,175,124
"Argentina","South America",2023-10-01,7328,6525,13392,461,1959,681,2038,3999,5174,13274,184,171,9,165,48
"Bolivia","South America",2023-10-01,667,563,1134,96,142,98,284,375,329,1113,32,33,1,42,7
"Brazil","South America",2023-10-01,4774,4660,9025,410,711,287,3088,3156,2190,8484,428,291,17,165,47
"Chile","South America",2023-10-01,5722,4405,9706,421,1194,518,2556,2842,3015,9232,141,203,9,190,349
"Colombia","South America",2023-10-01,17671,14036,27355,4353,2905,2035,9477,8768,8522,27985,1188,928,129,1073,404
"Ecuador","South America",2023-10-01,2417,1853,3708,562,324,250,1710,1124,861,3416,100,306,14,205,226
"Peru","South America",2023-10-01,5145,3961,8419,688,1089,1861,1632,2459,2064,8260,171,206,38,286,143
"Uruguay","South America",2023-10-01,1053,887,1866,74,230,92,388,541,688,1802,43,49,2,25,19
"Venezuela","South America",2023-10-01,2207,2635,1291,3550,199,638,953,992,2059,2424,405,98,117,1327,468
"Other South America","South America",2023-10-01,536,475,955,56,71,47,333,300,258,867,49,42,2,17,31
"China","Asia",2023-10-01,124,210,236,99,1,3,144,128,57,147,109,24,4,46,4
"South Korea","Asia",2023-10-01,41,87,104,23,2,1,42,43,38,37,63,2,2,18,4
"India","Asia",2023-10-01,33,177,182,27,7,16,80,69,38,135,52,9,0,14,0
"Israel","Asia",2023-10-01,86,97,115,68,27,10,80,32,33,155,1,6,1,18,1
"Japan","Asia",2023-10-01,39,80,94,25,4,2,50,33,30,33,26,17,14,21,7
"Taiwan","Asia",2023-10-01,15,17,16,16,0,0,8,12,11,13,9,0,0,9,0
"Other Asia","Asia",2023-10-01,155,434,388,201,14,22,266,164,122,289,190,37,7,62,3
"Germany","Europe",2023-10-01,5789,5743,10561,970,723,671,3561,2617,3958,10561,433,41,21,448,25
"Austria","Europe",2023-10-01,390,410,661,140,63,28,256,216,236,704,29,0,1,60,5
"Belgium","Europe",2023-10-01,1151,1043,1994,200,272,198,530,590,603,1974,27,54,0,135,3
"Bulgaria","Europe",2023-10-01,90,84,138,37,6,7,50,64,47,143,9,2,0,20,0
"Denmark","Europe",2023-10-01,70,103,115,58,16,16,48,41,51,118,11,3,0,41,0
"Scotland","Europe",2023-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Spain","Europe",2023-10-01,7321,8093,12065,3350,922,469,4518,4677,4827,11612,1239,340,62,2120,40
"Finland","Europe",2023-10-01,22,23,27,18,0,2,18,10,15,32,4,1,0,4,4
"France","Europe",2023-10-01,4608,4345,7831,1123,1287,866,2012,2499,2287,7755,253,85,10,817,31
"Greece","Europe",2023-10-01,16,32,37,11,0,0,19,14,15,20,12,5,0,8,3
"Netherlands","Europe",2023-10-01,901,934,1453,382,168,114,610,374,567,1432,74,18,8,293,8
"Hungary","Europe",2023-10-01,170,160,294,36,30,23,80,107,88,295,1,4,0,20,10
"United Kingdom","Europe",2023-10-01,8372,7673,15425,620,1876,1160,4124,4121,4761,15450,221,51,5,284,32
"Ireland","Europe",2023-10-01,113,114,193,34,12,12,66,73,64,204,13,0,1,7,2
"Italy","Europe",2023-10-01,1888,2422,3114,1197,258,168,1485,951,1448,3526,166,40,6,563,7
"Luxembourg","Europe",2023-10-01,48,51,85,14,14,5,27,25,27,84,5,1,0,9,0
"Norway","Europe",2023-10-01,76,89,113,53,4,5,42,42,73,120,11,15,4,14,1
"Poland","Europe",2023-10-01,443,421,765,99,61,31,311,318,142,770,27,14,0,48,3
"Portugal","Europe",2023-10-01,2337,2121,4366,92,280,93,1925,1192,967,4344,41,32,5,32,3
"Czech Republic","Europe",2023-10-01,485,406,833,57,66,52,237,254,280,829,3,1,3,51,3
"Romania","Europe",2023-10-01,246,253,470,29,44,23,222,166,43,442,13,11,0,30,1
"Russia","Europe",2023-10-01,110,109,132,87,12,11,59,65,71,166,17,8,0,21,6
"Sweden","Europe",2023-10-01,116,113,160,70,35,19,50,70,55,184,10,1,1,34,0
"Switzerland","Europe",2023-10-01,1492,1485,2333,644,320,271,907,683,794,2362,187,14,9,398,6
"Ukraine","Europe",2023-10-01,226,150,291,84,39,25,150,79,81,316,27,1,0,29,2
"Other Europe","Europe",2023-10-01,520,591,915,196,121,74,323,347,246,932,68,10,0,90,10
"Australia","Australia",2023-10-01,61,85,107,39,6,3,56,49,32,111,8,5,1,19,2
"Other Rest of the World","Other",2023-10-01,127,186,235,78,11,4,93,116,87,152,52,71,0,34,3
"Dom. Residents",NA,2023-11-01,38971,32843,147,71667,3436,3366,20669,19632,24708,162,0,0,0,0,71652
"Ext. Residents",NA,2023-11-01,5715,6923,441,12197,1008,521,3065,3538,4505,41,0,0,0,0,12598
"Dom. Non-Residents",NA,2023-11-01,52099,42093,7736,86456,1247,2478,18842,23265,48358,48121,1473,371,705,43067,453
"Canada","North America",2023-11-01,55716,49869,98586,6999,11685,3990,21924,24463,43521,101843,644,626,61,1532,878
"United States","North America",2023-11-01,114878,113358,166538,61698,24784,12927,58852,63052,68619,186532,6441,2328,898,30498,1538
"Mexico","North America",2023-11-01,4017,4670,7070,1617,377,210,3206,2645,2247,5436,1114,960,37,662,475
"Aruba","Caribbean",2023-11-01,71,94,82,83,6,9,46,45,58,78,20,21,0,38,6
"Turk and Caicos Islands","Caribbean",2023-11-01,149,194,188,155,18,6,75,110,133,254,18,1,0,64,5
"Costa Rica","Central America",2023-11-01,922,1013,1439,496,116,127,585,628,476,867,419,242,14,166,225
"Cuba","Caribbean",2023-11-01,402,446,471,378,26,33,133,217,439,350,116,106,18,243,14
"Curaçao","Caribbean",2023-11-01,128,255,265,117,11,54,63,92,161,201,19,13,2,58,88
"El Salvador","Central America",2023-11-01,782,705,1134,353,90,70,640,419,267,1057,96,173,2,77,81
"Guadeloupe","Caribbean",2023-11-01,150,211,204,157,5,16,92,92,154,175,36,55,4,66,23
"Guatemala","Central America",2023-11-01,1615,1680,2692,603,360,276,1075,977,606,2558,314,185,14,183,40
"Haiti","Caribbean",2023-11-01,1239,1716,1007,1948,54,77,1480,897,446,1230,381,87,96,1135,25
"Honduras","Central America",2023-11-01,269,273,400,142,18,17,200,187,120,243,88,134,8,62,5
"Jamaica","Caribbean",2023-11-01,658,562,972,248,64,68,636,302,148,972,70,69,7,66,34
"Martinique","Caribbean",2023-11-01,136,179,204,111,6,29,60,76,142,189,34,22,3,52,14
"Panama","Central America",2023-11-01,1893,2066,3190,769,363,164,1274,1270,887,2514,631,376,25,261,150
"Puerto Rico","Caribbean",2023-11-01,6834,7520,10732,3622,965,719,3282,4325,5060,10836,663,331,123,1943,456
"Saint Martin","Caribbean",2023-11-01,88,172,140,120,10,6,60,72,110,153,25,6,0,74,1
"Trinidad and Tobago","Caribbean",2023-11-01,106,121,182,46,3,3,61,99,61,129,40,40,0,15,3
"U.S. Virgin Islands","Caribbean",2023-11-01,58,104,91,71,14,3,24,41,78,88,5,1,0,43,23
"Other America","North America",2023-11-01,417,701,695,423,51,53,357,347,309,575,112,173,12,167,76
"Argentina","South America",2023-11-01,8097,7023,14562,558,1675,981,2480,3736,6246,14403,156,212,67,213,68
"Bolivia","South America",2023-11-01,571,486,976,82,80,143,264,290,278,823,35,163,1,33,1
"Brazil","South America",2023-11-01,4757,4642,8903,497,552,237,3428,3068,2114,8401,443,387,12,133,22
"Chile","South America",2023-11-01,5148,3840,8321,667,907,328,2511,2432,2809,8355,137,166,8,281,38
"Colombia","South America",2023-11-01,15983,12654,24436,4201,1767,1598,9902,7951,7418,24877,1092,975,82,1078,531
"Ecuador","South America",2023-11-01,2676,2185,4004,857,346,471,1738,1247,1058,4256,99,228,26,233,18
"Peru","South America",2023-11-01,3113,2496,4921,688,327,387,1746,1636,1511,4892,179,250,39,241,7
"Uruguay","South America",2023-11-01,852,762,1552,63,189,47,388,437,551,1448,50,72,2,33,8
"Venezuela","South America",2023-11-01,2068,2378,1094,3352,162,429,870,1053,1931,1965,465,171,89,1432,323
"Other South America","South America",2023-11-01,452,395,774,74,76,28,325,217,201,680,27,78,5,23,33
"China","Asia",2023-11-01,151,278,319,110,2,14,217,125,69,197,135,37,8,45,5
"South Korea","Asia",2023-11-01,46,98,102,41,6,0,36,55,46,50,67,5,2,18,1
"India","Asia",2023-11-01,31,128,105,54,5,8,59,50,36,78,72,1,1,6,1
"Israel","Asia",2023-11-01,51,58,51,57,17,7,29,29,26,79,4,2,3,20,0
"Japan","Asia",2023-11-01,46,68,89,25,1,2,49,33,29,57,25,7,1,19,4
"Taiwan","Asia",2023-11-01,10,16,21,5,0,0,9,10,7,13,9,0,0,4,0
"Other Asia","Asia",2023-11-01,181,529,424,286,10,14,338,210,137,329,259,17,6,94,5
"Germany","Europe",2023-11-01,7961,7984,14183,1761,361,310,5233,3168,6870,14138,1222,17,44,464,57
"Austria","Europe",2023-11-01,641,655,1108,188,22,25,435,216,597,1183,32,3,5,68,4
"Belgium","Europe",2023-11-01,982,996,1709,268,61,28,609,442,837,1719,48,12,6,166,23
"Bulgaria","Europe",2023-11-01,188,167,303,53,7,4,112,115,117,315,17,2,3,17,0
"Denmark","Europe",2023-11-01,138,179,272,45,25,3,107,49,133,265,17,26,0,9,0
"Scotland","Europe",2023-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Spain","Europe",2023-11-01,6389,7505,9846,4048,881,401,3540,3911,5160,9520,1359,371,60,2534,48
"Finland","Europe",2023-11-01,89,83,140,32,6,3,74,38,51,148,8,0,1,15,0
"France","Europe",2023-11-01,5273,5027,8998,1302,418,237,2827,2501,4315,8762,396,267,11,828,33
"Greece","Europe",2023-11-01,45,60,67,38,2,0,52,32,18,76,16,0,0,12,1
"Netherlands","Europe",2023-11-01,1055,1054,1676,433,81,49,734,425,818,1667,55,8,5,362,10
"Hungary","Europe",2023-11-01,180,192,323,49,13,4,124,115,116,350,4,1,0,15,2
"United Kingdom","Europe",2023-11-01,6779,6104,12228,655,574,407,4404,2738,4759,12409,229,33,6,177,28
"Ireland","Europe",2023-11-01,185,211,353,43,26,17,167,101,84,372,15,1,0,7,1
"Italy","Europe",2023-11-01,2982,3745,5056,1671,357,217,2331,1381,2439,5564,319,20,16,794,12
"Luxembourg","Europe",2023-11-01,69,70,106,33,4,1,34,26,74,114,4,2,1,17,0
"Norway","Europe",2023-11-01,99,112,143,67,15,6,65,52,72,173,7,2,3,23,2
"Poland","Europe",2023-11-01,2330,2195,4303,222,245,85,1712,1273,1209,4329,47,9,2,126,10
"Portugal","Europe",2023-11-01,681,686,1299,68,89,36,543,365,334,1301,33,9,1,22,0
"Czech Republic","Europe",2023-11-01,1774,1506,3096,183,176,135,851,906,1211,3150,16,9,3,71,30
"Romania","Europe",2023-11-01,321,332,620,33,20,12,360,157,103,615,10,3,1,24,0
"Russia","Europe",2023-11-01,140,112,137,115,19,8,70,79,75,202,9,1,4,25,10
"Sweden","Europe",2023-11-01,134,158,240,51,11,11,79,69,121,246,11,3,2,26,3
"Switzerland","Europe",2023-11-01,1558,1566,2365,759,80,85,1088,544,1326,2491,196,15,19,399,3
"Ukraine","Europe",2023-11-01,271,193,357,107,52,25,186,120,79,412,26,2,1,20,1
"Other Europe","Europe",2023-11-01,904,922,1594,231,77,46,586,536,580,1653,72,14,5,64,17
"Australia","Australia",2023-11-01,93,103,147,49,11,13,69,44,58,161,13,4,1,12,5
"Other Rest of the World","Other",2023-11-01,90,200,177,112,6,9,97,107,70,173,53,30,2,27,3
"Dom. Residents",NA,2023-12-01,30137,26769,171,56735,2831,3707,16999,14811,18557,22,0,0,0,1,56883
"Ext. Residents",NA,2023-12-01,5432,6586,487,11531,1427,821,2761,2980,4027,3,0,0,0,0,12014
"Dom. Non-Residents",NA,2023-12-01,99372,85506,8302,176576,4759,10324,44038,47197,78557,88634,1398,227,1071,92806,741
"Canada","North America",2023-12-01,77953,74855,138184,14624,21707,15428,31081,35719,48872,147471,680,104,233,4040,277
"United States","North America",2023-12-01,146083,146623,192632,100074,41894,29840,73220,68135,79615,233599,4933,751,1289,51033,1099
"Mexico","North America",2023-12-01,4381,4465,6204,2642,732,627,3011,2282,2193,6526,740,164,13,1366,35
"Aruba","Caribbean",2023-12-01,118,153,72,199,72,44,48,39,67,94,2,2,2,158,11
"Turk and Caicos Islands","Caribbean",2023-12-01,137,307,228,216,58,29,74,131,151,315,16,2,0,111,0
"Costa Rica","Central America",2023-12-01,1144,1081,1209,1015,219,152,695,644,513,1590,193,38,12,381,8
"Cuba","Caribbean",2023-12-01,476,465,458,484,42,56,144,230,468,411,102,42,11,357,17
"Curaçao","Caribbean",2023-12-01,197,364,317,244,63,64,96,93,244,335,17,1,3,162,41
"El Salvador","Central America",2023-12-01,792,685,1014,463,129,80,630,345,291,1273,58,16,2,119,7
"Guadeloupe","Caribbean",2023-12-01,294,402,280,417,126,66,97,141,265,372,33,35,3,245,7
"Guatemala","Central America",2023-12-01,1854,1763,2783,834,444,336,1184,952,699,3115,147,68,5,267,12
"Haiti","Caribbean",2023-12-01,1286,1715,1058,1943,123,87,1042,1080,668,1434,369,61,93,1022,19
"Honduras","Central America",2023-12-01,257,219,222,254,38,28,164,144,100,253,54,20,4,142,1
"Jamaica","Caribbean",2023-12-01,799,673,1108,365,113,86,765,327,179,1259,42,14,13,106,37
"Martinique","Caribbean",2023-12-01,244,343,220,366,104,61,91,108,222,342,20,4,6,200,12
"Panama","Central America",2023-12-01,1518,1755,2105,1168,376,380,993,909,613,1787,552,115,21,760,36
"Puerto Rico","Caribbean",2023-12-01,6223,6981,7655,5550,1167,1019,3125,3333,4558,8862,615,100,99,3254,273
"Saint Martin","Caribbean",2023-12-01,230,328,168,389,145,57,136,118,100,270,15,7,10,240,14
"Trinidad and Tobago","Caribbean",2023-12-01,87,108,134,61,16,13,54,58,53,126,16,8,0,31,12
"U.S. Virgin Islands","Caribbean",2023-12-01,155,219,79,294,119,53,55,47,98,187,5,7,4,167,2
"Other America","North America",2023-12-01,658,869,721,806,277,123,384,352,389,880,69,34,6,472,65
"Argentina","South America",2023-12-01,7881,7205,13911,1175,2398,1523,2996,3854,4314,14360,67,26,20,597,15
"Bolivia","South America",2023-12-01,750,635,1289,95,279,147,309,344,304,1327,3,2,3,47,2
"Brazil","South America",2023-12-01,6478,5733,11308,903,1264,883,3363,3865,2834,11164,240,506,20,252,27
"Chile","South America",2023-12-01,4818,4318,8095,1041,1565,973,2095,2355,2146,8402,56,39,13,608,16
"Colombia","South America",2023-12-01,18902,14762,27328,6335,3189,2939,9157,8577,9800,30586,632,481,54,1844,65
"Ecuador","South America",2023-12-01,1528,1306,2103,730,352,228,918,678,656,2363,50,68,10,332,8
